x,y,c
63390,90742,2
66005,87816,2
64570,86676,2
61290,94049,2
66672,91613,2
63795,89147,2
63750,88961,2
63749,86802,2
64692,92007,2
67288,90010,2
61348,90508,2
64631,89538,2
66399,90153,2
65377,87637,2
65783,90603,2
65114,90022,2
65949,86683,2
64814,91325,2
65310,91303,2
65373,91978,2
62634,87750,2
62720,90797,2
65157,92190,2
67316,91698,2
69072,89451,2
66839,90544,2
49594,88445,1
47927,88397,1
46216,91603,1
48415,87938,1
45497,89641,1
48473,87247,1
46526,88919,1
48591,92137,1
48960,91560,1
48996,89708,1
48549,90238,1
48377,86349,1
47742,91865,1
45853,90521,1
48022,89025,1
49323,91705,1
46570,90734,1
47547,90022,1
47127,88689,1
47921,90608,1
49059,90476,1
47071,89808,1
44554,90910,0
47641,90047,1
47516,88161,1
48406,92254,1
50645,86363,1
47542,89805,1
48058,88969,1
47919,94682,1
47314,89076,1
50744,88975,1
43638,90155,0
47261,86173,1
47982,89231,1
47613,89960,1
48162,89538,1
48170,90184,1
48751,90470,1
49583,91012,1
47366,92673,1
45645,89862,1
51122,87147,1
48233,88670,1
47596,89527,1
49372,89844,1
48867,91737,1
47930,88613,1
46703,91137,1
44897,89865,1
48056,91176,1
48005,90676,1
48664,90907,1
47292,87367,1
50992,89609,1
47935,89239,1
48725,93953,1
47731,89579,1
48939,88376,1
50261,87725,1
43970,90169,0
48305,89828,1
44070,92420,0
43542,93723,0
44953,89733,1
41581,93138,0
43860,91075,0
44116,94080,0
43070,92553,0
42008,92462,0
41500,92287,0
45442,91036,1
40625,95353,0
42816,91387,0
41491,93267,0
42437,92490,0
42554,90385,0
43024,93754,0
43080,92312,0
45831,92008,1
41103,96201,0
44159,94413,0
42753,94254,0
42443,93157,0
43486,91079,0
43509,90320,0
43774,93667,0
43772,92685,0
44469,92936,0
43298,90088,0
43545,92890,0
42100,93586,0
44291,94646,0
43873,92530,0
44517,92707,0
44779,92033,0
45963,91863,1
39624,92870,0
42880,91666,0
42357,92880,0
41046,93072,0
43277,92086,0
39884,91292,0
40312,93365,0
44849,92696,0
44833,91348,0
44320,93060,0
40589,92701,0
42888,94089,0
43453,91909,0
40672,93376,0
42452,93098,0
41985,92704,0
42039,92990,0
42497,92008,0
43678,92201,0
43697,94938,0
43807,91142,0
42827,94957,0
43465,90656,0
45197,92691,0
43917,92959,0
40867,90096,0
43062,92163,0
42092,95716,0
39354,92042,0
43389,91924,0
39620,90686,0
42960,92389,0
43017,88704,0
41239,94412,0
40794,91710,0
41828,94225,0
43277,93450,0
44098,91906,0
42921,95337,0
42949,92863,0
43821,95547,0
38526,92997,0
43849,94156,0
44188,92292,0
46808,92725,1
41885,93224,0
40659,92188,0
41375,92762,0
42835,93268,0
42895,92889,0
42520,92422,0
40265,93324,0
42224,95911,0
42488,91609,0
40135,92498,0
42224,93751,0
42145,94244,0
42575,97472,0
43157,89691,0
43307,91700,0
38260,93139,0
43612,91885,0
41903,92622,0
43134,90938,0
42785,91576,0
44718,91263,0
41969,91537,0
42578,96169,0
43084,92379,0
41148,88678,0
40480,94547,0
43893,90736,0
43423,94521,0
43348,92856,0
44156,92672,0
42843,93998,0
41405,93461,0
